Name,Full Text,Language,Concept,Text ,Relevance,Month,Year
AnishPrabhakar5,RT @kbfc_manjappada: Thank you Dada for your support _Ÿ˜˜_Ÿ˜˜ https://t.co/OW1RJxecHv,en,Person,Dada,0.33,Mar,2018
AnishPrabhakar5,RT @kbfc_manjappada: Thank you Dada for your support _Ÿ˜˜_Ÿ˜˜ https://t.co/OW1RJxecHv,en,TwitterHandle,@kbfc_manjappada,0.33,Mar,2018
AnishPrabhakar5,@vishakvichu95 @ADITHYA82361229 @chetrisunil11 Exactly!,en,TwitterHandle,@ADITHYA82361229,0.01,Mar,2018
AnishPrabhakar5,@vishakvichu95 @ADITHYA82361229 @chetrisunil11 Exactly!,en,TwitterHandle,@chetrisunil11,0.01,Mar,2018
AnishPrabhakar5,@vishakvichu95 @ADITHYA82361229 @chetrisunil11 Exactly!,en,TwitterHandle,@vishakvichu95,0.01,Mar,2018
AnishPrabhakar5,@mohitsharma13_ @chetrisunil11 @IPL @ChennaiIPL @RCBTweets @mipaltan @DelhiDaredevils @lionsdenkxip @KKRidersâ€_ https://t.co/YlN12WgMfj,en,TwitterHandle,@DelhiDaredevils,0.01,Mar,2018
AnishPrabhakar5,@mohitsharma13_ @chetrisunil11 @IPL @ChennaiIPL @RCBTweets @mipaltan @DelhiDaredevils @lionsdenkxip @KKRidersâ€_ https://t.co/YlN12WgMfj,en,TwitterHandle,@mohitsharma13_,0.01,Mar,2018
AnishPrabhakar5,@mohitsharma13_ @chetrisunil11 @IPL @ChennaiIPL @RCBTweets @mipaltan @DelhiDaredevils @lionsdenkxip @KKRidersâ€_ https://t.co/YlN12WgMfj,en,TwitterHandle,@chetrisunil11,0.01,Mar,2018
AnishPrabhakar5,@mohitsharma13_ @chetrisunil11 @IPL @ChennaiIPL @RCBTweets @mipaltan @DelhiDaredevils @lionsdenkxip @KKRidersâ€_ https://t.co/YlN12WgMfj,en,TwitterHandle,@lionsdenkxip,0.01,Mar,2018
AnishPrabhakar5,@mohitsharma13_ @chetrisunil11 @IPL @ChennaiIPL @RCBTweets @mipaltan @DelhiDaredevils @lionsdenkxip @KKRidersâ€_ https://t.co/YlN12WgMfj,en,TwitterHandle,@ChennaiIPL,0.01,Mar,2018
AnishPrabhakar5,@mohitsharma13_ @chetrisunil11 @IPL @ChennaiIPL @RCBTweets @mipaltan @DelhiDaredevils @lionsdenkxip @KKRidersâ€_ https://t.co/YlN12WgMfj,en,TwitterHandle,@RCBTweets,0.01,Mar,2018
AnishPrabhakar5,@mohitsharma13_ @chetrisunil11 @IPL @ChennaiIPL @RCBTweets @mipaltan @DelhiDaredevils @lionsdenkxip @KKRidersâ€_ https://t.co/YlN12WgMfj,en,TwitterHandle,@KKRiders,0.01,Mar,2018
AnishPrabhakar5,@mohitsharma13_ @chetrisunil11 @IPL @ChennaiIPL @RCBTweets @mipaltan @DelhiDaredevils @lionsdenkxip @KKRidersâ€_ https://t.co/YlN12WgMfj,en,TwitterHandle,@mipaltan,0.01,Mar,2018
AnishPrabhakar5,@mohitsharma13_ @chetrisunil11 @IPL @ChennaiIPL @RCBTweets @mipaltan @DelhiDaredevils @lionsdenkxip @KKRidersâ€_ https://t.co/YlN12WgMfj,en,TwitterHandle,@IPL,0.01,Mar,2018
AnishPrabhakar5,RT @chetrisunil11: We football fans in India have small joys and reasons to be happy about. A proper football pitch is one of them. Let's nâ€_,en,concept,Association football pitch,0.895,Mar,2018
AnishPrabhakar5,RT @chetrisunil11: We football fans in India have small joys and reasons to be happy about. A proper football pitch is one of them. Let's nâ€_,en,concept,Pitch,0.79672,Mar,2018
AnishPrabhakar5,RT @chetrisunil11: We football fans in India have small joys and reasons to be happy about. A proper football pitch is one of them. Let's nâ€_,en,Sport,football,0.920474,Mar,2018
AnishPrabhakar5,RT @chetrisunil11: We football fans in India have small joys and reasons to be happy about. A proper football pitch is one of them. Let's nâ€_,en,Location,India,0.618129,Mar,2018
AnishPrabhakar5,RT @chetrisunil11: We football fans in India have small joys and reasons to be happy about. A proper football pitch is one of them. Let's nâ€_,en,TwitterHandle,@chetrisunil11,0.618129,Mar,2018
AnishPrabhakar5,"RT @kbfc_manjappada: This is our home
#SaveKochiTurf 
@KeralaBlasters https://t.co/8jxQg4snYs",en,TwitterHandle,@kbfc_manjappada,0.01,Mar,2018
AnishPrabhakar5,"RT @kbfc_manjappada: This is our home
#SaveKochiTurf 
@KeralaBlasters https://t.co/8jxQg4snYs",en,TwitterHandle,@KeralaBlasters,0.01,Mar,2018
AnishPrabhakar5,RT @sachin_rt: Urged Shri. Vinod Rai who has promised to look into the matter. Hoping that neither the cricket nor the football fans are diâ€_,en,concept,Association football,0.847099,Mar,2018
AnishPrabhakar5,RT @sachin_rt: Urged Shri. Vinod Rai who has promised to look into the matter. Hoping that neither the cricket nor the football fans are diâ€_,en,concept,Association football culture,0.82178,Mar,2018
AnishPrabhakar5,RT @sachin_rt: Urged Shri. Vinod Rai who has promised to look into the matter. Hoping that neither the cricket nor the football fans are diâ€_,en,concept,Thermodynamics,0.751623,Mar,2018
AnishPrabhakar5,RT @sachin_rt: Urged Shri. Vinod Rai who has promised to look into the matter. Hoping that neither the cricket nor the football fans are diâ€_,en,Person,Vinod Rai,0.938034,Mar,2018
AnishPrabhakar5,RT @sachin_rt: Urged Shri. Vinod Rai who has promised to look into the matter. Hoping that neither the cricket nor the football fans are diâ€_,en,Sport,football,0.282054,Mar,2018
AnishPrabhakar5,RT @sachin_rt: Urged Shri. Vinod Rai who has promised to look into the matter. Hoping that neither the cricket nor the football fans are diâ€_,en,TwitterHandle,@sachin_rt,0.282054,Mar,2018
AnishPrabhakar5,"RT @kbfc_manjappada: FULL TIME
Kerala Blasters (R) 3-2 Fateh Hyderabad AFC
Riswanali,Ananthu &amp; Suraj scored
#manjappada https://t.co/FgmHXAâ€_",in,concept,StarHub TV,0.830971,Mar,2018
AnishPrabhakar5,"RT @kbfc_manjappada: FULL TIME
Kerala Blasters (R) 3-2 Fateh Hyderabad AFC
Riswanali,Ananthu &amp; Suraj scored
#manjappada https://t.co/FgmHXAâ€_",in,concept,States Reorganisation Act,0.800498,Mar,2018
AnishPrabhakar5,"RT @kbfc_manjappada: FULL TIME
Kerala Blasters (R) 3-2 Fateh Hyderabad AFC
Riswanali,Ananthu &amp; Suraj scored
#manjappada https://t.co/FgmHXAâ€_",in,Organization,Fateh Hyderabad AFC,0.978956,Mar,2018
AnishPrabhakar5,"RT @kbfc_manjappada: FULL TIME
Kerala Blasters (R) 3-2 Fateh Hyderabad AFC
Riswanali,Ananthu &amp; Suraj scored
#manjappada https://t.co/FgmHXAâ€_",in,Company,Kerala Blasters,0.737344,Mar,2018
AnishPrabhakar5,"RT @kbfc_manjappada: FULL TIME
Kerala Blasters (R) 3-2 Fateh Hyderabad AFC
Riswanali,Ananthu &amp; Suraj scored
#manjappada https://t.co/FgmHXAâ€_",in,Person,Suraj,0.476003,Mar,2018
AnishPrabhakar5,"RT @kbfc_manjappada: FULL TIME
Kerala Blasters (R) 3-2 Fateh Hyderabad AFC
Riswanali,Ananthu &amp; Suraj scored
#manjappada https://t.co/FgmHXAâ€_",in,TwitterHandle,@kbfc_manjappada,0.476003,Mar,2018
AnishPrabhakar5,RT @ShashiTharoor: Thanks for the outpouring of support for my firm opposition to KCA's shifting the WI ODI to Kochi. Turf laid for top-claâ€_,en,concept,English musical groups,0.836318,Mar,2018
AnishPrabhakar5,RT @ShashiTharoor: Thanks for the outpouring of support for my firm opposition to KCA's shifting the WI ODI to Kochi. Turf laid for top-claâ€_,en,Organization,KCA,0.956464,Mar,2018
AnishPrabhakar5,RT @ShashiTharoor: Thanks for the outpouring of support for my firm opposition to KCA's shifting the WI ODI to Kochi. Turf laid for top-claâ€_,en,Location,Kochi,0.815993,Mar,2018
AnishPrabhakar5,RT @ShashiTharoor: Thanks for the outpouring of support for my firm opposition to KCA's shifting the WI ODI to Kochi. Turf laid for top-claâ€_,en,TwitterHandle,@ShashiTharoor,0.815993,Mar,2018
AnishPrabhakar5,RT @NSMlive: @AjuAjmalpa @kbfc_manjappada @athulmnair1 @KeralaBlasters @ckvineeth @SandeshJhingan @Humey_7 @rinoanto @anasedathodika @Shajiâ€_,ml,TwitterHandle,@kbfc_manjappada,0.01,Mar,2018
AnishPrabhakar5,RT @NSMlive: @AjuAjmalpa @kbfc_manjappada @athulmnair1 @KeralaBlasters @ckvineeth @SandeshJhingan @Humey_7 @rinoanto @anasedathodika @Shajiâ€_,ml,TwitterHandle,@KeralaBlasters,0.01,Mar,2018
AnishPrabhakar5,RT @NSMlive: @AjuAjmalpa @kbfc_manjappada @athulmnair1 @KeralaBlasters @ckvineeth @SandeshJhingan @Humey_7 @rinoanto @anasedathodika @Shajiâ€_,ml,TwitterHandle,@SandeshJhingan,0.01,Mar,2018
AnishPrabhakar5,RT @NSMlive: @AjuAjmalpa @kbfc_manjappada @athulmnair1 @KeralaBlasters @ckvineeth @SandeshJhingan @Humey_7 @rinoanto @anasedathodika @Shajiâ€_,ml,TwitterHandle,@anasedathodika,0.01,Mar,2018
AnishPrabhakar5,RT @NSMlive: @AjuAjmalpa @kbfc_manjappada @athulmnair1 @KeralaBlasters @ckvineeth @SandeshJhingan @Humey_7 @rinoanto @anasedathodika @Shajiâ€_,ml,TwitterHandle,@athulmnair1,0.01,Mar,2018
AnishPrabhakar5,RT @NSMlive: @AjuAjmalpa @kbfc_manjappada @athulmnair1 @KeralaBlasters @ckvineeth @SandeshJhingan @Humey_7 @rinoanto @anasedathodika @Shajiâ€_,ml,TwitterHandle,@AjuAjmalpa,0.01,Mar,2018
AnishPrabhakar5,RT @NSMlive: @AjuAjmalpa @kbfc_manjappada @athulmnair1 @KeralaBlasters @ckvineeth @SandeshJhingan @Humey_7 @rinoanto @anasedathodika @Shajiâ€_,ml,TwitterHandle,@ckvineeth,0.01,Mar,2018
AnishPrabhakar5,RT @NSMlive: @AjuAjmalpa @kbfc_manjappada @athulmnair1 @KeralaBlasters @ckvineeth @SandeshJhingan @Humey_7 @rinoanto @anasedathodika @Shajiâ€_,ml,TwitterHandle,@rinoanto,0.01,Mar,2018
AnishPrabhakar5,RT @NSMlive: @AjuAjmalpa @kbfc_manjappada @athulmnair1 @KeralaBlasters @ckvineeth @SandeshJhingan @Humey_7 @rinoanto @anasedathodika @Shajiâ€_,ml,TwitterHandle,@Humey_7,0.01,Mar,2018
