date;text;
18.08.17 17:55;I request to all whomsoever spreading this sms # BJP is following # rss terminology i wanna tell them # LoveJihadTapes how end only # RSS knows.;
18.08.17 17:43;# LordKabir जन्म मरण जैसे भयंकर रोग को जो परमेश्वर काट सकता है वह प्रभु कबीर है। Haryana News पर 6:00 AM से # LoveJihadTapes # Kaal;
18.08.17 17:43;# LordKabir जन्म मरण जैसे भयंकर रोग को जो परमेश्वर काट सकता है वह प्रभु कबीर है। Haryana News पर 6:00 AM से # LoveJihadTapes # Kaal;
18.08.17 17:43;# LordKabir जन्म मरण जैसे भयंकर रोग को जो परमेश्वर काट सकता है वह प्रभु कबीर है। Haryana News पर 6:00 AM से # LoveJihadTapes # Kaal;
18.08.17 17:43;# LordKabir जन्म मरण जैसे भयंकर रोग को जो परमेश्वर काट सकता है वह प्रभु कबीर है। Haryana News पर 6:00 AM से # LoveJihadTapes # Kaal;
18.08.17 17:41;# LordKabir कबीर साहेब जी पूर्ण परमात्मा है जो 600 वर्ष पहले सहशरीर आये थे और सहशरीर ही गये थे। ईश्वर Tv पर 8:30 PM से # LoveJihadTapes pic.twitter.com/bFrmrWqxk7;
18.08.17 17:38;# LoveJihadTapes I have reported @ republic . Have you?!!;
18.08.17 17:31;# LordKabir गुण तीनों की भक्ति में ये भूल पड़ो संसार। कहे कबीर निज नाम बिना कैसे उतरो पर। ईश्वरTv पर 08:30 PM से # KnowNaMoApp # LoveJihadTapes pic.twitter.com/6zgvOl46x3;
18.08.17 17:24;"4ThoseWho r Waiting4 # WorldWar3its on # JK # JahurVatali # ISI2 # spainattack # HinduGirlsForIsis # LoveJihadTapes @ BBCUrdu @ ndtv @ the_hindupic.twitter.com/ChWHEMx2J2""";
18.08.17 17:21;@ republic Love Jihad is a part of Jihad # LoveJihadKerala # LoveJihadDebate # LoveJihadTapes https://swarajyamag.com/ideas/to-fight-love-jihad-women-must-be-informed-what-happens-to-their-rights-in-a-sharia-marriage …;
18.08.17 17:18;Suhasini swamy married Nadeem Haider...still susu swamy trending # LoveJihadTapes Baklol he be ee to;
18.08.17 17:11;Yesterday it was # HinduGirlsForIsis for @ TimesNow and # LoveJihadTapes for @ republichttps://twitter.com/hunkharsh/status/898561781521502209 …;
18.08.17 16:31;Madam JNU wali h inse aise hi statement hi aayega # LoveJihadTapes # LoveJihad # LoveJihadKerala # LoveJihadNailedhttps://twitter.com/ReallySwara/status/898075071931072513 …;
18.08.17 16:28;# LoveJihadTapes Love jihad is a reality in parts of UP too. These guys prowl around girls colleges and give their names as Raju, Babblu.;
18.08.17 14:22;# LoveJihadTapes exposed the true ideology of leftist who have no way of life but only blood shed & hooliganism;
18.08.17 14:04;Make Registration of all Religious Conversions mandatory..in the presence of a Magistrate..! # LoveJihad # LoveJihadTapes @ PMOIndia @ Swamy39;
18.08.17 13:48;Just saw @ republic # LoveJihadTapes Shame on # Kerala Hindus for converting to other religions 4 money. *drawback of a liberal religion too;
18.08.17 13:21;Inter Community marriages without free consent, to exploit, rape & export them to ISIS camps. # LoveJihadTapes https://twitter.com/republic/status/898150392298590208 …;
